sample_id,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Mitochondrion
P41019061105682,6.826282449520466e-05,2.987120452018775e-05,0.00027221339603074324,6.7049612296658e-05,9.033630399250329e-05,3.4930037543767946e-05,8.070043156663628e-05,3.733900565023469e-05,4.697487807610171e-05,0.0008262760605180967
P41019061105686,7.960620542833244e-05,4.807001646536196e-05,0.00030389090868906986,8.748374644079286e-05,4.143966936669135e-05,4.00583470544683e-05,0.0005000386770247422,0.00018785983446233408,6.630347098670617e-05,0.0010249411556694991
P41019061105688,4.86286580158973e-06,4.876693856001832e-06,3.869550559653627e-05,2.7917305407546716e-05,1.802256425044155e-05,1.8658654753398312e-05,1.643233799304965e-05,4.240603353045072e-06,3.710527933914438e-05,0.0002788196704627134
P41019061105693,1.281552433640019e-05,4.346647885525595e-06,3.93914964625757e-05,2.2186015249036887e-05,5.433309856906993e-06,1.6232013197509644e-05,2.0035330097344536e-05,4.754146124793619e-06,4.7541461247936185e-05,0.00033211106500344
P41019061105696,4.129889481352273e-06,1.7205275424199651e-06,1.5054615996174694e-05,1.3142918726819175e-05,5.73509180806655e-06,1.0896674435326445e-05,1.111174037812894e-05,2.150659428024956e-06,2.1506594280249563e-05,0.0002932065686874024
P41019061105701,2.7086247033498788e-05,4.558032507130797e-05,0.00013563695349939396,4.337228164224808e-05,6.387554205494716e-05,2.2159292984494016e-05,0.0001190766277814447,7.885869389499648e-07,4.652662939804793e-05,0.00023894184250183935
P41019061105735,2.2112411696685347e-05,1.131635186830368e-05,9.787994001032781e-05,4.4441611743338206e-05,5.723212439142091e-05,2.85510256907202e-05,7.446679821383742e-05,7.1540155489276126e-06,0.0001320241051302096,0.0004760672165286375
P41019061105737,0.000138710239268161,7.381731259716812e-05,0.0001584286661873184,0.00028668044357705235,4.526533319637669e-05,0.00014450087135766402,0.0004622286909091542,0.0003760504604006679,8.878969203904657e-05,0.0002454773838726582
P41019081703384,2.3692218874381987e-05,7.30797888311841e-06,3.018513016940213e-05,3.971727653868701e-05,0.0002510131877245019,2.9708522850937883e-05,1.7475601677022286e-05,1.2709528492379845e-05,4.607204078487693e-05,0.0013472100201922634
P41019081703391,4.724083911698394e-05,2.07979373339797e-05,0.00011545913740554906,1.580235434689634e-05,2.752668176556137e-05,2.4162309549770528e-05,8.487393544381422e-05,1.2234080784693942e-05,2.14096413732144e-05,0.0005581799358016611
P41019081703456,3.107210555524457e-05,6.6123273907037385e-06,5.270695746213125e-06,1.5971805291554923e-06,8.52894402569033e-05,1.1403868978170214e-05,1.10205456511729e-05,6.22900406370642e-06,1.3895470603652786e-05,0.0002942006534704417
P41019081703461,1.4327238640987126e-05,5.898930971320008e-06,1.1187627704227604e-05,1.55948749816506e-05,6.102342384124147e-06,6.814282328938631e-06,1.2713213300258639e-05,6.102342384124147e-06,3.4579940176703494e-05,0.000362072314791366
P41019081703462,8.869143795230944e-05,3.092373617635365e-05,0.0001930688290375519,0.00017043505388201967,4.990338377665536e-05,6.790132546659664e-05,0.00015298250436450087,0.00012271323879505414,0.000117804709243252,0.0004532208952830667
P41019081703465,1.780319842264114e-05,1.1446529100198753e-05,0.00024089740788145556,8.359434888326969e-05,3.017721308234217e-05,2.809602597321512e-05,0.00010562024578819758,3.121780663690569e-05,8.324748436508185e-06,0.0002039563366944505
P41019081703471,0.0002121069933175239,0.00011536932184120477,0.0009506768146866269,0.0005668902491765778,0.00011854291160059065,0.00023335218819013913,0.0007663285860164169,0.0003761637273625042,0.0037933731712189007,0.0014206481217015668
P41019081703479,9.8544122631438e-06,7.699940760133184e-06,0.00010804755582767534,1.2005283980852813e-05,0.00011549911140199775,1.4033762998307252e-05,3.104814822634348e-05,3.7257777871612174e-06,6.209629645268697e-06,0.0004185290380911102
P41019081703500,3.557470294955231e-05,1.5746840211254668e-05,0.0004345819136733519,2.727393892799011e-05,1.8525694366181963e-05,6.468554949525202e-05,0.00021150167734724406,6.175231455393987e-06,0.00047858043779303396,0.0002948673019950629
P41019081703512,0.00036645626933686583,0.0006296440368424177,0.005230825525967047,0.005484935793889926,0.001905414938716845,0.0021106261496772667,0.0019383805950960288,0.00019944222109406418,0.00427070078392331,0.0020372775642335814
P41019081703517,0.00015386923684915086,6.322369648697224e-05,0.004354762278901209,0.000253508608243879,0.00038609422417772366,0.0004019922216438653,0.001891493405093252,6.629280796692234e-05,0.0024908908771275077,0.001756145588827452
P41019081703523,8.842171420087026e-06,7.066591947043288e-06,1.848817660563651e-05,4.409772494085153e-05,3.040277930704671e-05,1.2818469113241311e-05,1.6844783129579936e-05,7.395270642254605e-06,2.547259887887697e-05,0.0020928615917580533
P41019081703526,1.4728534867071e-05,2.645525405647229e-05,8.683990914878607e-05,0.00020845162918480537,3.763958910473699e-05,5.452363336029042e-05,6.88266772200905e-05,2.9573962868007642e-05,5.000688266772201e-05,0.0003876877677787911
P41019081703527,3.0856186083372876e-05,1.967217196964509e-05,0.0002396767787440937,1.9506162079605894e-05,8.217489556940355e-05,5.6650874975876686e-05,0.00025088244632173956,3.237192855764382e-05,0.00023158379660468266,0.0005117254860458312
P41019081703539,2.2837602183044706e-05,2.9570465641453438e-05,0.00022177849231090076,0.00011828186256581374,0.0004326626025433713,9.571492826049401e-05,0.00013073258494116256,9.804943870587192e-05,6.0697271579825474e-05,0.00015407768939494155
P41019081703556,0.00025491960978498747,0.0001724780906209211,0.007086199789984003,0.0010566225371371745,0.0005103192439424125,0.00045033219820014327,0.004564045065114773,0.0003385771906925621,0.0030251135951009354,0.0020707184706124813
